"2021-07-18 09:40:59,556",0,132,-0.1,47,0.099867
"2021-07-18 09:41:04,276",1,161,1.7,42,0.099837
"2021-07-18 09:41:09,059",2,192,1.9,42,0.099805
"2021-07-18 09:41:13,737",3,220,1.7,41,0.099776
"2021-07-18 09:41:27,840",4,309,4.0,133,0.099686
"2021-07-18 09:41:46,875",5,433,6.2,186,0.099561
"2021-07-18 09:42:03,341",6,536,5.1,159,0.099458
